id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
69,3343.740717,3358.1408,3372.111494,3388.155982,3395.87962,3395.716816,3366.821178,3339.352293,3317.125391,3288.021915,3254.292653,3236.679382,3210.428866,3199.630706,3178.633117,3157.440405,3135.86768,3084.000218,3033.843715,2726.323714
70,4088.370734,4086.217679,4079.424264,4069.352654,4056.373943,4034.44982,3997.812923,3955.629727,3950.880092,3943.492017,3938.861021,3934.285827,3937.412041,3941.655056,3930.610236,3923.618055,3944.916522,3937.500125,3929.114527,3915.53289
71,3101.871036,3114.368997,3112.631259,3108.813915,3103.807124,3096.265362,3080.5797,3060.430559,3050.797406,3034.352991,3017.443654,3006.522954,2999.761252,3000.419432,2985.815186,2971.382874,2992.495289,2979.993398,2970.185653,2958.646634
72,1375.60019,1387.258576,1390.63007,1393.650072,1393.891275,1390.044154,1385.774891,1380.613112,1378.775397,1371.147121,1362.289934,1355.703661,1348.246655,1349.503975,1340.666381,1338.336901,1353.517875,1348.250115,1347.79442,1356.65012
73,1862.69776,1878.754555,1896.448236,1911.628669,1914.132364,1921.636772,1929.704534,1937.251975,1939.185427,1940.354858,1939.731238,1931.131915,1916.363831,1912.392098,1911.617418,1911.005074,1900.043393,1872.872724,1870.901395,1869.088976
74,2480.315337,2484.339104,2496.3968,2507.774574,2519.014722,2526.543019,2513.730699,2521.862855,2525.987335,2526.303782,2517.552309,2525.804808,2534.305954,2532.602572,2543.432339,2553.539265,2564.399852,2582.843086,2600.383052,2626.004534
75,1762.287937,1750.081706,1766.404284,1784.320976,1800.056505,1807.956508,1797.704721,1798.481313,1799.872195,1803.093756,1805.360538,1808.054683,1812.800594,1811.944439,1816.650719,1817.000838,1824.384638,1836.068668,1851.255632,1871.845018
76,1174.249429,1170.6593,1176.492263,1187.390367,1200.216802,1209.198178,1213.801397,1217.899768,1224.846559,1222.273764,1223.06958,1226.647989,1236.394953,1234.720474,1221.505321,1229.202602,1240.667069,1254.186639,1274.564193,1300.386597
77,989.6831624,990.636505,994.116108,996.766252,1003.160901,1009.585175,1010.51362,1015.476183,1018.066621,1016.74476,1019.930987,1024.424155,1031.110995,1031.013545,1037.774751,1042.65042,1045.932542,1051.038184,1061.553001,1074.268457
78,1254.102766,1259.898927,1263.857409,1270.643365,1279.617898,1284.49925,1279.972607,1283.037015,1286.759076,1278.207307,1283.451307,1291.748283,1300.51113,1305.508615,1312.97173,1320.13277,1328.789301,1340.308963,1353.118666,1370.955426
